Boston Celtics,G/F,7,"Brown, Jaylen",6 ft 6 in (1.98 m),223 lb (101 kg),1996-10-24,California
Boston Celtics,F,8,"Fitts, Malik",6 ft 6 in (1.98 m),230 lb (104 kg),1997-07-04,Saint Mary's
Boston Celtics,F,30,"Hauser, Sam",6 ft 8 in (2.03 m),218 lb (99 kg),1997-12-08,Virginia
Boston Celtics,F/C,42,"Horford, Al",6 ft 9 in (2.06 m),240 lb (109 kg),1986-06-03,Florida
Boston Celtics,F/C,40,"Kornet, Luke",7 ft 2 in (2.18 m),250 lb (113 kg),1995-07-15,Vanderbilt
Boston Celtics,F,4,"Martin, Kelan",6 ft 5 in (1.96 m),230 lb (104 kg),1995-08-03,Butler
Boston Celtics,G/F,26,"Nesmith, Aaron",6 ft 5 in (1.96 m),215 lb (98 kg),1999-10-16,Vanderbilt
Boston Celtics,G,11,"Pritchard, Payton",6 ft 1 in (1.85 m),195 lb (88 kg),1998-01-28,Oregon
Boston Celtics,F,—,"Ryan, Matt (TW)",6 ft 7 in (2.01 m),215 lb (98 kg),1997-04-17,Chattanooga
Boston Celtics,G,36,"Smart, Marcus",6 ft 3 in (1.91 m),220 lb (100 kg),1994-03-06,Oklahoma State
Boston Celtics,G/F,0,"Tatum, Jayson",6 ft 8 in (2.03 m),210 lb (95 kg),1998-03-03,Duke
Boston Celtics,F/C,27,"Theis, Daniel",6 ft 8 in (2.03 m),245 lb (111 kg),1992-04-04,Germany
Boston Celtics,G,97,"Thomas, Brodric (TW)",6 ft 5 in (1.96 m),185 lb (84 kg),1997-01-28,Truman
Boston Celtics,G,9,"White, Derrick",6 ft 4 in (1.93 m),190 lb (86 kg),1994-07-02,Colorado
Boston Celtics,F,12,"Williams, Grant",6 ft 6 in (1.98 m),236 lb (107 kg),1998-11-30,Tennessee
Boston Celtics,F/C,44,"Williams, Robert",6 ft 9 in (2.06 m),237 lb (108 kg),1997-10-17,Texas A&M
Brooklyn Nets,F/C,21,"Aldridge, LaMarcus",6 ft 11 in (2.11 m),250 lb (113 kg),1985-07-19,Texas
Brooklyn Nets,G/F,1,"Brown, Bruce",6 ft 4 in (1.93 m),202 lb (92 kg),1996-08-15,Miami (FL)
Brooklyn Nets,F/C,33,"Claxton, Nic",6 ft 11 in (2.11 m),215 lb (98 kg),1999-04-17,Georgia
Brooklyn Nets,G,30,"Curry, Seth",6 ft 2 in (1.88 m),185 lb (84 kg),1990-08-23,Duke
Brooklyn Nets,G,9,"Dragić, Goran",6 ft 3 in (1.91 m),190 lb (86 kg),1986-05-06,Slovenia
Brooklyn Nets,G,6,"Duke, David (TW)",6 ft 4 in (1.93 m),202 lb (92 kg),1999-10-13,Providence
Brooklyn Nets,C,0,"Drummond, Andre",6 ft 10 in (2.08 m),279 lb (127 kg),1993-08-10,Connecticut
Brooklyn Nets,F,7,"Durant, Kevin ",6 ft 10 in (2.08 m),240 lb (109 kg),1988-09-29,Texas
Brooklyn Nets,F,14,"Edwards, Kessler (TW)",6 ft 7 in (2.01 m),203 lb (92 kg),2000-08-09,Pepperdine
Brooklyn Nets,F,2,"Griffin, Blake",6 ft 9 in (2.06 m),250 lb (113 kg),1989-03-16,Oklahoma
Brooklyn Nets,G/F,12,"Harris, Joe ",6 ft 6 in (1.98 m),220 lb (100 kg),1991-09-07,Virginia
Brooklyn Nets,G,11,"Irving, Kyrie",6 ft 2 in (1.88 m),195 lb (88 kg),1992-03-23,Duke
Brooklyn Nets,F,16,"Johnson, James",6 ft 7 in (2.01 m),240 lb (109 kg),1987-02-20,Wake Forest
Brooklyn Nets,G,8,"Mills, Patty",6 ft 1 in (1.85 m),180 lb (82 kg),1988-08-11,Saint Mary's
Brooklyn Nets,F,20,"Sharpe, Day'Ron",6 ft 9 in (2.06 m),265 lb (120 kg),2001-11-06,North Carolina
Brooklyn Nets,G/F,10,"Simmons, Ben ",6 ft 11 in (2.11 m),240 lb (109 kg),1996-07-20,LSU
Brooklyn Nets,G,24,"Thomas, Cameron",6 ft 3 in (1.91 m),210 lb (95 kg),2001-10-13,LSU
New York Knicks,G,51,"Arcidiacono, Ryan",6 ft 3 in (1.91 m),195 lb (88 kg),1994-03-26,Villanova
New York Knicks,G/F,9,"Barrett, RJ",6 ft 6 in (1.98 m),214 lb (97 kg),2000-06-14,Duke
New York Knicks,G,18,"Burks, Alec",6 ft 6 in (1.98 m),214 lb (97 kg),1991-07-20,Colorado
New York Knicks,G/F,13,"Fournier, Evan",6 ft 7 in (2.01 m),205 lb (93 kg),1992-10-29,France
New York Knicks,F,67,"Gibson, Taj",6 ft 9 in (2.06 m),232 lb (105 kg),1985-06-24,Southern California
New York Knicks,G,6,"Grimes, Quentin",6 ft 5 in (1.96 m),205 lb (93 kg),2000-05-08,Houston
New York Knicks,G,2,"McBride, Miles",6 ft 2 in (1.88 m),200 lb (91 kg),2000-09-08,West Virginia
New York Knicks,F/C,3,"Noel, Nerlens ",6 ft 11 in (2.11 m),220 lb (100 kg),1994-04-10,Kentucky
New York Knicks,G,5,"Quickley, Immanuel",6 ft 3 in (1.91 m),190 lb (86 kg),1999-06-17,Kentucky
New York Knicks,F,30,"Randle, Julius",6 ft 8 in (2.03 m),250 lb (113 kg),1994-11-29,Kentucky
New York Knicks,G/F,21,"Reddish, Cam",6 ft 8 in (2.03 m),217 lb (98 kg),1999-09-01,Duke
New York Knicks,C,23,"Robinson, Mitchell",7 ft 0 in (2.13 m),240 lb (109 kg),1998-04-01,Chalmette HS (LA)
New York Knicks,G,4,"Rose, Derrick ",6 ft 2 in (1.88 m),200 lb (91 kg),1988-10-04,Memphis
